mid_price,microprice,inventory,total_pnl,spread_pnl,inventory_pnl,rebate_pnl,volatility,vpin,regime,bid,ask,spread,obi
99.99995971472784,100.00327586206896,0,0.0,0.0,0.0,0.0,8.164404507040134e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,0.10840108401084012
99.99988253468469,100.0008275862069,0,0.0,0.0,0.0,0.0,7.13914556109638e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,-0.05874222529371113
99.99989091986332,99.99978540772533,1,0.010090919863316117,0.009785407725317441,8.385178631442614e-06,0.0002,6.799306166663485e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,0.13066666666666665
99.99986948300122,99.99758807588076,1,0.01006948300121735,0.009785407725317441,-1.3051683467324438e-05,0.0002,5.9531626499911746e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.021806853582554516
99.99979642111221,99.9999065420561,1,0.009996421112205667,0.009785407725317441,-8.611357247900742e-05,0.0002,5.188602745343958e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.05284831846259437
99.99973804660127,99.9981647940075,1,0.009938046601263295,0.009785407725317441,-0.0001444880834213791,0.0002,4.5695639486137094e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.007308970099667774
99.99973577374087,99.99867469879517,0,0.02040000000000266,0.0211107089301521,-0.0001444880834213791,0.0004,4.286944537822284e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.22413793103448276
99.99976367880595,100.00354368932038,-1,0.040836321194063885,0.03756701960976727,-0.00017239314850314713,0.0006000000000000001,4.8733428461525044e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,0.17306733167082294
99.99977874791803,99.9948259860789,-1,0.04082125208198306,0.03756701960976727,-0.00018746226058397042,0.0006000000000000001,4.4780366069677726e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.12802768166089964
99.99980822406656,99.99757679180888,-1,0.04079177593345662,0.03756701960976727,-0.00021693840911041207,0.0006000000000000001,9.007059753327078e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.18827361563517916
99.99995249614798,100.0011409395973,-1,0.04064750385202842,0.03756701960976727,-0.00036121049053861043,0.0006000000000000001,8.747207486866694e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,-0.014677728142948309
99.99987377137073,99.99964143426294,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,7.043480701398883e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.03823529411764706
99.99985191633714,99.9988188976378,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,5.789395185878159e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.15463917525773196
99.99988785757073,99.99889733840304,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,5.209788533369685e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.2105638829407566
99.99982234087132,99.9992664092664,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,4.507877037202167e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.06301369863013699
99.99984401235261,99.997408993576,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,3.900073900812763e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.07983441750443525
99.99981751276636,99.99888888888889,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,3.7016668523646786e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.10753380553766903
99.9998763651045,99.9990243902439,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,3.212570771963638e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.1072618254497002
99.99983351856275,99.99951219512194,0,0.06080000000000798,0.05720845387270401,-0.00036121049053861043,0.0008,3.2085627796802617e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.041666666666666664
99.99983795277579,100.0011875,1,0.07083795277580407,0.06839595387269526,-0.0003567762774991934,0.001,2.783971269921087e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,0.1337579617834395
99.99978924643541,100.00009615384616,1,0.0707892464354245,0.06839595387269526,-0.0004054826178787607,0.001,2.783971269921087e-05,0.0,normal,99.98,100.01,0.020000000000010232,-0.10242587601078167
99.9997328008611,100.00028720626632,2,0.0806656017222167,0.07868316013900767,-0.0005183737665106491,0.0012000000000000001,2.783971269921087e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,-0.05456634118322803
99.99969453380848,99.99955357142858,2,0.08058906761698381,0.07868316013900767,-0.0005949078717435441,0.0012000000000000001,2.783971269921087e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.08968609865470852
99.99970022659578,100.00148688046647,2,0.08060045319157894,0.07868316013900767,-0.00058352229714842,0.0012000000000000001,2.783971269921087e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,-0.09620991253644315
99.99963519812118,100.00046875,2,0.08047039624239005,0.07868316013900767,-0.0007135792463373036,0.0012000000000000001,2.9580440869718016e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,0.19136690647482013
99.99965245192575,100.000990990991,3,0.0903573557773143,0.08967415112999788,-0.0006618178326220914,0.0014000000000000002,2.8465090095268237e-05,0.0,normal,99.99000000000001,100.02,0.020000000000010232,-0.057014734144778985
99.99965117988258,99.99916363636362,3,0.09035353964776505,0.08967415112999788,-0.0006656339621571306,0.0014000000000000002,2.783971269921087e-05,0.0,normal,99.98,100.01,0.020000000000010232,0.025503355704697986
